"account_id","id","cargo_name","account_name","cargo_type","min_size","max_size","region","matching_region","del_port","redel_port","laycan_start_date","laycan_end_date","duration","email_id","phone_number","latitude","longitude","received_at","process_id"
"TR149P","1957","Coal","Marcons","Dry Bulk","20000","62625","0","Persian Gulf-Japan Range","Koh Sichang","Persian Gulf-Japan Range","2025-10-10","2025-10-11","0","bulk@marconsgroup.com","+918591913284","13.1639","100.9115",NULL,"230218"
"TR149P","1962",,"Capital Shiptrade Ltd",,"50000","59000","China Japan Range","China Japan Range","Bayuquan",,"2025-10-22","2025-10-23","210","chartering@capitalship.eu","+30 210 2205911","40.2906","122.1071",NULL,"532400"
NULL,"1980",,"Star Gulf Shipping Pvt Ltd.","Dry Bulk","10000","20000","Persian Gulf","Persian Gulf","Persian Gulf","Persian Gulf","2025-10-17","2025-10-23","15","chart@stargulfshipping.com","+962 78 5639975","25.0","55.0",NULL,"762436"
NULL,"1981",,"Star Gulf Shipping Pvt Ltd.","Dry Bulk","10000","20000","Persian Gulf","Persian Gulf",,"Persian Gulf","2025-10-17","2025-10-23","15","chart@stargulfshipping.com","+962 78 5639975","25.0","51.0",NULL,"811797"
NULL,"1987","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","Persian Gulf","Persian Gulf","Bandar Abbas","West Mediterranean","2025-09-25","2025-10-05","40","chart@stargulfshipping.com","+962 6 4170025","27.1833","56.2667",NULL,"257117"
"TR149P","2007","Coal","Marcons Group","Dry Bulk","50000","59000","0","Persian Gulf to Japan Range","Koh Sichang",,"2025-10-12","2025-10-13","90","bulk@marconsgroup.com","+91 8591913284","13.1639","100.9115",NULL,"120113"
NULL,"2017",,"Star Gulf Shipping Pvt Ltd.","Dry Bulk","15000","20000","Persian Gulf","West Mediterranean","Persian Gulf","West Mediterranean","2025-09-25","2025-10-05","40","chart@stargulfshipping.com","+962 78 5639975","25.0","51.0",NULL,"019604"
"TR149P","2025","Coal","Marcons Group","Dry Bulk","20000","62625","0","Persian Gulf - Japan Range","Koh Sichang",,"2025-10-10","2025-10-13","0","bulk@marconsgroup.com","+918591913284","13.1631","100.9116",NULL,"519892"
"TR149P","2055",,"Capital Shiptrade Ltd",,"50000","59000","China Japan Range","China Japan Range","Bayuquan",,"2025-10-22","2025-10-23","210","chartering@capitalship.eu","+30 210 2205911","40.2906","122.1076",NULL,"804217"
NULL,"2058","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","Persian Gulf","West Mediterranean","PG","Spain","2025-09-25","2025-10-05","40","Fix@stargulfshipping.com","+962 77 9233254","25.0","51.0",NULL,"703545"
NULL,"2063","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","Persian Gulf","West Mediterranean","Persian Gulf","West Mediterranean","2025-09-25","2025-10-05","40","chart@stargulfshipping.com","+962 78 5639975","25.0","51.0",NULL,"224111"
"TR149P","2065","Coal","Marcons Group","Dry Bulk","20000","62625","0","Persian Gulf - Japan Range","Koh Sichang","PG-JPN Range (excluding Bangladesh)","2025-10-11","2025-10-13","0","bulk@marconsgroup.com","+91 8591913284","13.1639","100.9115",NULL,"914034"
NULL,"2086","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","Persian Gulf","Persian Gulf","Persian Gulf","West Mediterranean","2025-10-06","2025-10-11","40","fix@stargulfshipping.com","+962 77 9233254","27.1832","56.2666",NULL,"134332"
NULL,"2117","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","Persian Gulf","Persian Gulf","Persian Gulf","West Mediterranean","2025-09-25","2025-10-05","40","fix@stargulfshipping.com","+962 77 9233254","27.1833","56.2667",NULL,"987045"
"TR149P","2144",,"Capital Shiptrade Ltd",,"50000","59000","China Japan Range","China Japan Range","Bayuquan",,"2025-10-22","2025-10-23","210","chartering@capitalship.eu","+30 210 2205911","40.2906","122.1071",NULL,"034447"
"TR149P","2162","Coal","Marcons Group","Dry Bulk","20000","62625","0","Persian Gulf-Japan Range","Koh Sichang","Persian Gulf-Japan Range","2025-10-12","2025-10-13","0","bulk@marconsgroup.com","+918591913284","13.1639","100.9144",NULL,"547402"
"TR149P","2171",,"Capital Shiptrade Ltd",,"50000","59000","China Japan Range","China Japan Range","Bayuquan",,"2025-10-22","2025-10-23","210","chartering@capitalship.eu","+30 210 2205911","40.2906","122.1071",NULL,"100562"
"TR149P","2183",,"Capital Shiptrade Ltd",,"50000","59000","China Japan Range","China Japan Range","Bayuquan",,"2025-10-22","2025-10-23","210","chartering@capitalship.eu","+30 210 2205911","40.2906","122.0998",NULL,"646436"
NULL,"2198","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","Persian Gulf","West Mediterranean","PG","Spain","2025-09-25","2025-10-05","40","Fix@stargulfshipping.com","+962 77 9233254","36.0","-5.0",NULL,"545756"
NULL,"2236","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","Persian Gulf","Persian Gulf","Bandar Abbas","West Mediterranean","2025-10-15","2025-10-25","40","Fix@stargulfshipping.com","+962 77 9233254","27.1832","56.2666",NULL,"459485"
NULL,"2262","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","Persian Gulf","West Mediterranean","Persian Gulf","West Mediterranean","2025-09-25","2025-10-05","40","chart@stargulfshipping.com","+962 6 4170025","27.1833","56.2667",NULL,"106310"
"TR149P","2263","BH","Capital Shiptrade Ltd","Dry Bulk","50000","59000","China Japan Range","China Japan Range","Bayuquan","North China","2025-10-23","2025-10-24","270","chartering@capitalship.eu","+30 210 2205911","40.2906","122.1071",NULL,"676675"
NULL,"2312","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","Persian Gulf","West Mediterranean","PG","Spain","2025-09-25","2025-10-05","40","chart@stargulfshipping.com","+962 6 4170025","27.1833","56.2667",NULL,"116189"
NULL,"2338","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","0","Persian Gulf","Persian Gulf","West Mediterranean","2025-10-10","2025-10-25","40","fix@stargulfshipping.com","+962 77 9233254","27.1833","56.2667",NULL,"620468"
"TR149P","2346","Petcoke",,"Dry Bulk","57981","57981","0","China Japan Range",,"Singapore/Japan Range","2025-10-23","2025-10-27","180","chartering@indus-bulk.com","+92 3322529972","35.6895","139.6917",NULL,"013001"
"TR149P","2375","Petcoke","Indus Bulk Shipping","Dry Bulk","57981","57981","0","China Japan Range","Mombasa","Spore/Japan Range","2025-10-23","2025-10-27","180","chartering@indus-bulk.com","+92 3322529972","-4.0435","39.6682",NULL,"420175"
"TR149P","2376","Petcoke","Indus Bulk Shipping","Dry Bulk","57981","57981","East Africa","China Japan Range","Mombasa","Spore/Japan Range","2025-10-23","2025-10-27","180","chartering@indus-bulk.com","+92 3322529972","-4.0435","39.6682",NULL,"182048"
NULL,"2393","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","Persian Gulf","Persian Gulf","Bandar Abbas","Western Mediterranean","2025-10-10","2025-10-25","40","fix@stargulfshipping.com","+962 77 9233254","27.1832","56.2666",NULL,"676355"
"TR149P","2406",,,"Dry Bulk","58000","58000","Persian Gulf","Persian Gulf","Chittagong","China","2025-10-23","2025-10-29","150","bulkers@icshipbrokers.com","+92-3218200636","22.3384","91.8317",NULL,"880337"
"TR149P","2451","Petcoke",,"Dry Bulk","57981","57981","0","China Japan Range","Mombasa","Spore/Japan Range","2025-10-23","2025-10-27","180","chartering@indus-bulk.com","+92 3322529972","-4.0435","39.6682",NULL,"052926"
NULL,"2457","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","0","Persian Gulf","Persian Gulf","West Mediterranean","2025-10-10","2025-10-25","40","fix@stargulfshipping.com","+962 77 9233254","25.0","51.0",NULL,"314145"
NULL,"2470","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","0","Persian Gulf","Persian Gulf","West Mediterranean","2025-10-10","2025-10-25","40","fix@stargulfshipping.com","+962 77 9233254","26.0","51.0",NULL,"931909"
NULL,"2490","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","0","Persian Gulf","Persian Gulf","West Mediterranean","2025-10-10","2025-10-25","40","fix@stargulfshipping.com","+962 77 9233254","25.0","51.0",NULL,"660505"
NULL,"2509","Glass in Boxes","Star Gulf Shipping Pvt Ltd.","General Cargo","15000","20000","0","Persian Gulf","Persian Gulf","West Mediterranean","2025-10-10","2025-10-25","40","fix@stargulfshipping.com","+962 77 9233254","25.0","51.0",NULL,"441299"
NULL,"2510","Fertilizer","Winds import and export","Dry Bulk","15000","20000","0","West Africa","Dakar","Tema","2025-10-27","2025-10-29","25","chart@stargulfshipping.com","+962 78 5639975","14.6928","-17.4467",NULL,"422712"
NULL,"2522","Fertilizer","Winds import and export","Dry Bulk","15000","20000","0","West Africa","Dakar","Tema","2025-10-27","2025-10-29","25","Fix@stargulfshipping.com","+962 77 9233254","14.6928","-17.4467",NULL,"370944"
NULL,"2531","Fertilizer","Winds import and export","Dry Bulk","15000","20000","West Africa","West Africa","Dakar","Tema","2025-10-27","2025-10-29","25","Fix@stargulfshipping.com","+962 77 9233254","14.6928","-17.4467",NULL,"700938"
NULL,"2544","Fertilizers","Winds import and export","Dry Bulk","15000","20000","0","West Africa","Dakar","Tema","2025-10-27","2025-10-29","25","fix@stargulfshipping.com","+962 77 9233254","14.6928","-17.4467",NULL,"420324"
NULL,"2545","Fertilizer","Winds import and export","Dry Bulk","15000","20000","0","West Africa","Dakar","Tema","2025-10-27","2025-10-29","25","chart@stargulfshipping.com","+962 78 5639975","14.6928","-17.4467",NULL,"418138"
NULL,"2563","Harmless Fertilizers","Winds import and export","Dry Bulk","15000","20000","0","West Africa","Dakar","Tema","2025-10-27","2025-10-29","25","chart@stargulfshipping.com","+962 6 4170025","14.6928","-17.4467",NULL,"441475"
NULL,"2587","Fertilizers","Winds import and export","Dry Bulk","15000","20000","West Africa","West Africa","Dakar","Tema","2025-10-27","2025-10-29","25","Fix@stargulfshipping.com","+962 77 9233254","14.6928","-17.4467",NULL,"320922"
"TR149P","2701","Flexible cargoes",,"Dry Bulk","29974","29974","West Coast India","West Coast India","New Mangalore","Worldwide","2025-11-15","2025-11-20","300","samson.nellore@howerob.com","+91 9711118403","12.9172","74.856",NULL,"959598"
"TR149P","2741","Grains/Corn/SBM","LEMA Chartering","Dry Bulk","50000","50000","0","West Africa","West Africa or North Africa or North Coast South America or North Brazil","Red Sea","2025-11-01","2025-11-05","90","chart@lemafcc.com","+38-067-6211603","15.5527","48.5164",NULL,"113630"
"TR149P","2742","Grains/Corn/SBM","LEMA Chartering","Dry Bulk","50000","50000","0","West Africa","West Africa","Red Sea","2025-11-01","2025-11-06","90","chart@lemafcc.com","+38-067-6211603","7.539989","-5.54708",NULL,"093815"
"TR149P","2750","Grains/Corn/SBM","LEMA Chartering","Dry Bulk","50000","50000","0","West Africa","West Africa","Red Sea","2025-11-01","2025-11-05","90","chart@lemafcc.com","+38-067-6211603","5.6037","-0.187",NULL,"574010"
"TR149P","2756","Grains (Corn, SBM)","LEMA Chartering","Dry Bulk","50000","50000","0","West Africa","West Africa","Red Sea","2025-11-01","2025-11-05","90","chart@lemafcc.com","+38-067-6211603","14.5994","-17.4543",NULL,"001114"
"TR149P","2768",,"Marcons Group",,"50000","69999","0","East Coast India","India-Bangladesh Range",,"2025-11-10","2025-11-30","210","bulk@marconsgroup.com","+919769282905","20.5937","78.9629",NULL,"702178"
NULL,"2821","Wood Chips",,"Dry Bulk","40000","45000","0","South East Asia","Cai Lan","Weifang","2025-11-18","2025-11-22","0","captlu@188.com","0086-180-5016-9696","20.95","107.05",NULL,"047295"
NULL,"2822","Wood Chips",,"Dry Bulk","40000","45000","0","South East Asia","Cai Lan","Weifang","2025-12-10","2025-12-15","0","captlu@188.com","0086-180-5016-9696","20.95","107.05",NULL,"047295"
"TR149P","7500","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"897843"
"TR149P","7546","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"014038"
"TR149P","7598","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"032347"
"TR149P","7755","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"444781"
"TR149P","7811","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"502368"
"TR149P","7862","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"898504"
"TR149P","7920","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"436234"
"TR149P","7979","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9138","121.6147",NULL,"030364"
"TR149P","8082","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"108654"
"TR149P","8135","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"402917"
